Category,Country,Customer ID,Order Date,Order ID,Payment Method,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Home,USA,7090,03/01/23 0:00,ORDER03626,PayPal,485,No,1,Express,35.00%,$908.1,$484,4,2,$36.2,$2K
Home,USA,1684,07/12/23 0:00,ORDER03079,PayPal,672,No,1,Express,19.00%,$19.1,$35,10,4,$5.9,$0K
Home,USA,9469,8/27/2023 12:00:00 AM,ORDER06038,PayPal,650,No,2,Express,38.00%,$894.0,$423,3,1,$20.9,$2K
Home,USA,5641,06/07/23 0:00,ORDER01957,PayPal,317,No,3,Express,12.00%,$127.2,$23,2,4,$17.3,$0K
Home,USA,9076,6/26/2023 12:00:00 AM,ORDER01220,PayPal,168,No,3,Express,9.00%,$206.9,$433,8,5,$3.8,$2K
Home,USA,7043,07/02/23 0:00,ORDER07284,PayPal,672,No,4,Express,8.00%,$93.5,$45,5,1,$20.8,$0K
Home,USA,3621,5/13/2023 12:00:00 AM,ORDER08039,PayPal,225,No,5,Express,12.00%,$931.4,"$1,582",7,3,$17.8,$6K
Home,USA,1814,9/23/2023 12:00:00 AM,ORDER08364,PayPal,270,No,5,Express,17.00%,$326.9,$481,6,5,$21.0,$2K
Sports,Canada,8055,9/18/2023 12:00:00 AM,ORDER06351,PayPal,52,No,1,Express,35.00%,$875.7,$483,5,4,$42.2,$3K
Sports,Canada,6181,11/03/23 0:00,ORDER03566,PayPal,475,No,2,Express,39.00%,$174.1,$222,9,2,$16.3,$1K
Sports,Canada,3830,5/15/2023 12:00:00 AM,ORDER04271,PayPal,687,No,2,Express,39.00%,$254.9,$38,1,4,$32.0,$0K
Sports,Canada,3386,5/20/2023 12:00:00 AM,ORDER09161,PayPal,193,No,2,Express,34.00%,$797.7,$391,3,5,$4.8,$2K
Sports,Canada,9504,12/05/23 0:00,ORDER05519,PayPal,984,No,3,Express,13.00%,$193.7,$185,4,4,$22.5,$1K
Sports,Canada,1552,03/01/23 0:00,ORDER07860,PayPal,3,No,4,Express,18.00%,$681.9,$649,4,1,$11.1,$2K
Sports,Canada,8979,02/06/23 0:00,ORDER04318,PayPal,948,No,4,Express,16.00%,$924.4,"$1,582",10,1,$36.2,$8K
Sports,Canada,9675,05/04/23 0:00,ORDER06408,PayPal,753,No,4,Express,37.00%,$171.4,$81,4,2,$34.5,$0K
Sports,Canada,3530,1/22/2023 12:00:00 AM,ORDER04014,PayPal,111,No,4,Express,34.00%,$914.0,$869,6,2,$25.8,$4K
Sports,Canada,3418,6/17/2023 12:00:00 AM,ORDER01070,PayPal,572,No,4,Express,7.00%,$20.5,$50,9,3,$7.4,$0K
Sports,Canada,4133,04/04/23 0:00,ORDER06100,PayPal,908,No,5,Express,9.00%,$145.7,$69,4,1,$7.9,$1K
Sports,Canada,5327,6/18/2023 12:00:00 AM,ORDER06514,PayPal,619,No,5,Express,14.00%,$826.9,$236,2,2,$4.6,$1K
Sports,Canada,3802,4/22/2023 12:00:00 AM,ORDER01563,PayPal,451,No,5,Express,18.00%,$981.7,"$1,601",7,3,$17.9,$6K
Sports,Canada,2868,09/07/23 0:00,ORDER06125,PayPal,188,No,5,Express,31.00%,$142.8,$72,5,4,$14.2,$0K
Sports,Canada,8801,04/06/23 0:00,ORDER01960,PayPal,878,No,5,Express,6.00%,$213.1,$116,3,5,$16.9,$1K
Sports,France,5638,08/10/23 0:00,ORDER02089,PayPal,607,No,1,Express,22.00%,$779.0,$387,3,3,$28.9,$2K
Sports,France,1239,03/08/23 0:00,ORDER07677,PayPal,924,No,1,Express,22.00%,$185.3,$387,9,5,$22.5,$1K
Sports,France,8037,06/03/23 0:00,ORDER08047,PayPal,191,No,2,Express,5.00%,$419.9,$271,4,4,$35.5,$2K
Sports,France,8348,08/12/23 0:00,ORDER04658,PayPal,350,No,2,Express,13.00%,$634.7,$587,10,5,$28.3,$6K
Sports,France,7829,01/01/23 0:00,ORDER02948,PayPal,323,No,3,Express,27.00%,$251.0,$173,8,2,$13.5,$1K
Sports,France,1533,9/22/2023 12:00:00 AM,ORDER06016,PayPal,545,No,3,Express,26.00%,$634.8,$468,5,5,$27.8,$2K
Sports,France,6068,03/08/23 0:00,ORDER05493,PayPal,170,No,4,Express,29.00%,$909.9,$560,6,5,$32.4,$4K
Sports,Germany,6607,5/26/2023 12:00:00 AM,ORDER09879,PayPal,912,No,1,Express,38.00%,$711.5,$905,8,3,$17.9,$4K
Sports,Germany,9594,10/16/2023 12:00:00 AM,ORDER06859,PayPal,569,No,1,Express,32.00%,$636.3,$982,9,3,$3.3,$4K
Sports,Germany,3112,08/09/23 0:00,ORDER03410,PayPal,638,No,1,Express,29.00%,$653.9,$55,1,5,$15.0,$0K
Sports,Germany,9615,6/14/2023 12:00:00 AM,ORDER04897,PayPal,703,No,2,Express,24.00%,$293.7,$292,9,1,$6.0,$2K
Sports,Germany,2865,2/22/2023 12:00:00 AM,ORDER02035,PayPal,815,No,2,Express,22.00%,$420.3,$216,3,2,$8.2,$1K
Sports,Germany,1298,12/12/23 0:00,ORDER02622,PayPal,964,No,2,Express,25.00%,$23.6,$15,5,2,$19.3,$0K
Sports,Germany,9452,12/01/23 0:00,ORDER06057,PayPal,33,No,2,Express,32.00%,$446.7,$495,9,2,$45.4,$3K
Sports,Germany,2501,04/07/23 0:00,ORDER09381,PayPal,585,No,2,Express,10.00%,$99.0,$41,2,4,$36.4,$0K
Sports,Germany,1569,1/16/2023 12:00:00 AM,ORDER04056,PayPal,904,No,3,Express,16.00%,$821.2,$201,2,2,$45.5,$1K
Sports,Germany,8741,6/24/2023 12:00:00 AM,ORDER06136,PayPal,718,No,3,Express,37.00%,$922.4,$558,4,2,$35.6,$2K
Sports,Germany,2520,2/24/2023 12:00:00 AM,ORDER07543,PayPal,118,No,4,Express,34.00%,$139.6,$267,10,0,$5.0,$1K
Sports,Germany,6918,03/08/23 0:00,ORDER06975,PayPal,755,No,4,Express,10.00%,$178.0,$159,4,2,$26.8,$1K
Sports,Germany,7542,6/21/2023 12:00:00 AM,ORDER05789,PayPal,504,No,4,Express,7.00%,$45.8,$45,9,3,$5.5,$0K
Sports,Germany,8795,09/03/23 0:00,ORDER06532,PayPal,551,No,5,Express,15.00%,$895.5,"$1,128",5,1,$12.2,$4K
Sports,Germany,7675,10/12/23 0:00,ORDER06993,PayPal,458,No,5,Express,27.00%,$560.7,$89,1,2,$47.6,$0K
Sports,Germany,4688,03/02/23 0:00,ORDER06783,PayPal,533,No,5,Express,22.00%,$750.6,$608,6,4,$24.9,$4K
Sports,UK,9105,01/05/23 0:00,ORDER05929,PayPal,407,No,1,Express,23.00%,$99.3,$38,2,2,$12.4,$0K
Sports,UK,8974,10/21/2023 12:00:00 AM,ORDER02637,PayPal,477,No,1,Express,39.00%,$214.8,$257,9,4,$37.5,$1K
Sports,UK,6229,3/16/2023 12:00:00 AM,ORDER07110,PayPal,45,No,2,Express,8.00%,$565.3,$84,1,0,$29.3,$1K
Sports,UK,3365,12/02/23 0:00,ORDER06395,PayPal,431,No,3,Express,6.00%,$187.9,$194,7,1,$5.2,$1K
Sports,UK,6573,03/12/23 0:00,ORDER07302,PayPal,908,No,3,Express,39.00%,$795.5,$286,3,3,$49.6,$1K
Sports,UK,5781,02/07/23 0:00,ORDER08210,PayPal,366,No,3,Express,18.00%,$689.4,$313,2,5,$30.6,$1K
Sports,UK,5371,08/03/23 0:00,ORDER08988,PayPal,269,No,4,Express,8.00%,$424.2,$564,6,0,$32.4,$2K
Sports,UK,8681,9/25/2023 12:00:00 AM,ORDER08670,PayPal,607,No,4,Express,9.00%,$306.3,$500,6,2,$27.7,$2K
Sports,UK,4874,06/10/23 0:00,ORDER09856,PayPal,7,No,4,Express,20.00%,$41.7,$57,7,2,$16.1,$0K
Sports,UK,2504,04/09/23 0:00,ORDER08597,PayPal,689,No,4,Express,27.00%,$944.2,$721,9,3,$45.4,$6K
Sports,UK,8667,08/10/23 0:00,ORDER05224,PayPal,427,No,4,Express,15.00%,$719.3,$360,2,4,$14.6,$1K
Sports,UK,1483,2/25/2023 12:00:00 AM,ORDER07194,PayPal,13,No,5,Express,35.00%,$440.0,$593,9,0,$34.7,$3K
Sports,UK,4293,05/01/23 0:00,ORDER01320,PayPal,995,No,5,Express,33.00%,$806.0,"$1,516",10,1,$17.7,$5K
Sports,UK,6304,4/17/2023 12:00:00 AM,ORDER02260,PayPal,840,No,5,Express,34.00%,$285.8,$24,1,3,$37.9,$0K
Sports,UK,1271,04/07/23 0:00,ORDER05404,PayPal,348,No,5,Express,9.00%,$773.7,$954,5,3,$33.6,$4K
Sports,UK,7597,7/13/2023 12:00:00 AM,ORDER08532,PayPal,411,No,5,Express,16.00%,$920.5,"$1,165",8,3,$41.2,$6K
Sports,UK,2106,4/16/2023 12:00:00 AM,ORDER07674,PayPal,368,No,5,Express,37.00%,$642.6,$341,4,5,$16.5,$2K
Sports,USA,1541,10/11/23 0:00,ORDER07428,PayPal,374,No,1,Express,7.00%,$106.8,$56,2,0,$26.5,$0K
Sports,USA,4393,02/10/23 0:00,ORDER05408,PayPal,374,No,1,Express,13.00%,$917.2,"$1,036",10,0,$5.3,$8K
Sports,USA,2527,6/14/2023 12:00:00 AM,ORDER01954,PayPal,316,No,1,Express,33.00%,$28.4,$2,1,2,$35.2,$0K
Sports,USA,3677,4/19/2023 12:00:00 AM,ORDER04393,PayPal,57,No,3,Express,35.00%,$560.5,$328,3,0,$20.0,$1K
Sports,USA,1225,12/01/23 0:00,ORDER09913,PayPal,618,No,3,Express,39.00%,$575.5,$399,6,3,$3.4,$2K
Sports,USA,2168,11/04/23 0:00,ORDER09418,PayPal,961,No,4,Express,33.00%,$824.9,$121,1,1,$27.2,$1K
Sports,USA,4790,03/03/23 0:00,ORDER04251,PayPal,854,No,4,Express,27.00%,$54.2,$42,7,2,$28.8,$0K
Sports,USA,6614,05/08/23 0:00,ORDER03005,PayPal,262,No,5,Express,17.00%,$210.2,$362,9,0,$36.0,$2K
Sports,USA,9757,05/02/23 0:00,ORDER08860,PayPal,757,No,5,Express,9.00%,$656.3,"$1,475",10,1,$49.2,$6K
Sports,USA,3877,05/06/23 0:00,ORDER03150,PayPal,624,No,5,Express,28.00%,$171.7,$199,6,2,$25.7,$1K
Sports,USA,9074,06/12/23 0:00,ORDER05609,PayPal,243,No,5,Express,15.00%,$998.0,"$1,470",6,4,$15.1,$5K
Sports,USA,3965,6/14/2023 12:00:00 AM,ORDER07422,PayPal,126,No,5,Express,23.00%,$216.4,$209,5,5,$46.7,$1K
Books,Canada,7116,04/10/23 0:00,ORDER06176,Bank Transfer,612,No,2,Next Day,8.00%,$824.6,"$1,114",6,2,$10.9,$5K
Books,Canada,6718,12/15/2023 12:00:00 AM,ORDER04630,Bank Transfer,549,No,2,Next Day,39.00%,$969.8,$403,6,3,$24.5,$4K
Books,Canada,7326,03/04/23 0:00,ORDER01313,Bank Transfer,470,No,2,Next Day,19.00%,$974.7,$737,6,4,$7.7,$5K
Books,Canada,6162,5/27/2023 12:00:00 AM,ORDER04319,Bank Transfer,471,No,3,Next Day,27.00%,$19.1,$3,2,1,$13.0,$0K
Books,Canada,2354,05/02/23 0:00,ORDER01292,Bank Transfer,387,No,3,Next Day,37.00%,$953.6,$339,2,2,$14.0,$1K
Books,Canada,7292,09/11/23 0:00,ORDER09952,Bank Transfer,297,No,3,Next Day,6.00%,$255.6,$65,1,3,$9.4,$0K
Books,Canada,4170,10/11/23 0:00,ORDER01823,Bank Transfer,792,No,3,Next Day,26.00%,$861.3,"$1,474",10,3,$5.9,$6K
Books,Canada,2673,05/08/23 0:00,ORDER01128,Bank Transfer,191,No,3,Next Day,15.00%,$948.4,$984,5,5,$38.6,$4K
Books,Canada,3292,5/13/2023 12:00:00 AM,ORDER04346,Bank Transfer,176,No,4,Next Day,8.00%,$127.1,$82,4,1,$11.2,$0K
Books,Canada,7408,03/11/23 0:00,ORDER01639,Bank Transfer,432,No,4,Next Day,22.00%,$536.4,$618,7,3,$16.5,$3K
Books,Canada,6158,07/08/23 0:00,ORDER06511,Bank Transfer,789,No,4,Next Day,18.00%,$815.2,"$1,573",9,4,$34.2,$6K
Books,Canada,2794,10/07/23 0:00,ORDER09700,Bank Transfer,932,No,5,Next Day,5.00%,$856.5,"$1,434",7,0,$40.0,$6K
Books,Canada,3066,3/26/2023 12:00:00 AM,ORDER04198,Bank Transfer,651,No,5,Next Day,38.00%,$862.4,$950,10,0,$31.2,$5K
Books,Canada,5291,11/03/23 0:00,ORDER09257,Bank Transfer,10,No,5,Next Day,21.00%,$88.1,$17,1,2,$44.1,$0K
Books,Canada,2318,12/27/2023 12:00:00 AM,ORDER05550,Bank Transfer,246,No,5,Next Day,11.00%,$401.2,$234,4,2,$4.7,$1K
Books,Canada,4583,7/19/2023 12:00:00 AM,ORDER08692,Bank Transfer,438,No,5,Next Day,14.00%,$667.9,$99,1,4,$41.6,$1K
Books,France,1895,09/10/23 0:00,ORDER06575,Bank Transfer,612,No,1,Next Day,38.00%,$679.2,$630,7,2,$5.8,$3K
Books,France,4159,09/07/23 0:00,ORDER04156,Bank Transfer,964,No,1,Next Day,19.00%,$936.5,"$1,183",9,2,$6.3,$7K
Books,France,4628,11/14/2023 12:00:00 AM,ORDER08557,Bank Transfer,173,No,2,Next Day,24.00%,$799.5,$808,6,3,$2.4,$4K
Books,France,9323,03/10/23 0:00,ORDER03034,Bank Transfer,796,No,2,Next Day,32.00%,$123.2,$146,8,3,$28.1,$1K
Books,France,9865,6/16/2023 12:00:00 AM,ORDER09361,Bank Transfer,664,No,2,Next Day,30.00%,$556.7,$82,1,4,$16.4,$0K
Books,France,2535,2/28/2023 12:00:00 AM,ORDER07305,Bank Transfer,785,No,3,Next Day,16.00%,$60.4,$52,9,1,$41.4,$0K
Books,France,9478,08/12/23 0:00,ORDER09373,Bank Transfer,913,No,3,Next Day,40.00%,$335.8,$194,6,3,$8.9,$1K
Books,France,4464,3/18/2023 12:00:00 AM,ORDER08721,Bank Transfer,544,No,3,Next Day,17.00%,$734.7,$637,4,4,$31.5,$2K
Books,France,6825,5/22/2023 12:00:00 AM,ORDER04355,Bank Transfer,823,No,4,Next Day,29.00%,$533.1,$102,2,0,$6.0,$1K
Books,France,1235,06/03/23 0:00,ORDER07595,Bank Transfer,183,No,4,Next Day,14.00%,$653.8,"$1,289",9,0,$2.8,$5K
Books,France,4753,2/24/2023 12:00:00 AM,ORDER02347,Bank Transfer,520,No,4,Next Day,9.00%,$896.8,$954,4,1,$28.9,$3K
Books,France,7413,10/21/2023 12:00:00 AM,ORDER04989,Bank Transfer,876,No,4,Next Day,7.00%,$403.0,$238,5,4,$41.9,$2K
Books,France,9820,12/26/2023 12:00:00 AM,ORDER06299,Bank Transfer,230,No,5,Next Day,23.00%,$527.9,$670,6,1,$40.8,$2K
Books,France,7386,2/23/2023 12:00:00 AM,ORDER05523,Bank Transfer,693,No,5,Next Day,35.00%,$630.5,$554,7,1,$35.9,$3K
Books,France,6511,03/11/23 0:00,ORDER06276,Bank Transfer,187,No,5,Next Day,27.00%,$349.2,$656,9,4,$35.6,$2K
Books,France,7653,5/27/2023 12:00:00 AM,ORDER04118,Bank Transfer,90,No,5,Next Day,28.00%,$908.4,$446,4,5,$5.4,$3K
Books,Germany,4195,02/06/23 0:00,ORDER01506,Bank Transfer,511,No,1,Next Day,20.00%,$708.7,"$1,107",7,1,$14.5,$4K
Books,Germany,7812,2/28/2023 12:00:00 AM,ORDER03095,Bank Transfer,892,No,1,Next Day,35.00%,$203.0,$64,4,5,$38.8,$1K
Books,Germany,1563,06/07/23 0:00,ORDER03942,Bank Transfer,285,No,2,Next Day,32.00%,$151.2,$69,4,1,$38.0,$0K
Books,Germany,9660,5/13/2023 12:00:00 AM,ORDER06558,Bank Transfer,531,No,2,Next Day,37.00%,$523.3,$147,4,2,$25.1,$1K
Books,Germany,5396,11/02/23 0:00,ORDER08523,Bank Transfer,819,No,2,Next Day,14.00%,$239.5,$232,4,5,$8.7,$1K
Books,Germany,8176,4/18/2023 12:00:00 AM,ORDER01999,Bank Transfer,52,No,3,Next Day,23.00%,$740.9,$915,6,0,$37.9,$3K
Books,Germany,6298,10/11/23 0:00,ORDER01324,Bank Transfer,881,No,3,Next Day,10.00%,$616.3,"$1,060",9,5,$30.4,$5K
Books,Germany,8860,02/08/23 0:00,ORDER01334,Bank Transfer,494,No,5,Next Day,10.00%,$919.2,$828,6,2,$11.2,$5K
Books,Germany,9426,12/26/2023 12:00:00 AM,ORDER08675,Bank Transfer,48,No,5,Next Day,12.00%,$268.5,$127,4,3,$30.8,$1K
Books,Germany,1451,10/21/2023 12:00:00 AM,ORDER02928,Bank Transfer,49,No,5,Next Day,35.00%,$193.4,$337,10,3,$15.3,$1K
Books,UK,9378,11/12/23 0:00,ORDER05889,Bank Transfer,205,No,1,Next Day,23.00%,$132.0,$244,9,2,$40.6,$1K
Books,UK,4637,2/22/2023 12:00:00 AM,ORDER02220,Bank Transfer,197,No,1,Next Day,15.00%,$206.4,$252,9,3,$3.4,$2K
Books,UK,2117,5/19/2023 12:00:00 AM,ORDER02247,Bank Transfer,6,No,1,Next Day,36.00%,$227.4,$290,9,3,$48.2,$1K
Books,UK,2703,02/04/23 0:00,ORDER08803,Bank Transfer,437,No,1,Next Day,26.00%,$709.9,"$1,018",8,4,$24.0,$4K
Books,UK,1118,6/22/2023 12:00:00 AM,ORDER04979,Bank Transfer,945,No,1,Next Day,27.00%,$360.6,$326,10,4,$21.9,$3K
Books,UK,1015,6/21/2023 12:00:00 AM,ORDER02132,Bank Transfer,638,No,2,Next Day,39.00%,$110.0,$154,8,0,$9.4,$1K
Books,UK,7624,05/01/23 0:00,ORDER07893,Bank Transfer,442,No,2,Next Day,37.00%,$964.4,"$1,439",8,1,$48.1,$5K
Books,UK,4397,11/07/23 0:00,ORDER08219,Bank Transfer,321,No,2,Next Day,14.00%,$98.2,$89,5,3,$23.9,$0K
Books,UK,1970,04/06/23 0:00,ORDER03635,Bank Transfer,173,No,3,Next Day,7.00%,$392.3,$932,9,0,$36.1,$3K
Books,UK,9997,8/13/2023 12:00:00 AM,ORDER01032,Bank Transfer,259,No,3,Next Day,27.00%,$313.5,$43,1,5,$13.4,$0K
Books,UK,9355,8/23/2023 12:00:00 AM,ORDER08399,Bank Transfer,952,No,4,Next Day,33.00%,$211.7,$51,3,0,$19.0,$0K
Books,UK,1485,11/14/2023 12:00:00 AM,ORDER04012,Bank Transfer,702,No,4,Next Day,25.00%,$654.8,$537,8,0,$19.3,$4K
Books,UK,9269,4/20/2023 12:00:00 AM,ORDER09143,Bank Transfer,284,No,4,Next Day,30.00%,$203.4,$24,1,5,$14.3,$0K
Books,UK,2536,06/02/23 0:00,ORDER06725,Bank Transfer,690,No,5,Next Day,11.00%,$719.4,$957,5,0,$48.8,$3K
Books,UK,3790,09/07/23 0:00,ORDER02179,Bank Transfer,232,No,5,Next Day,28.00%,$620.2,$988,10,0,$10.0,$4K
Books,UK,1921,5/24/2023 12:00:00 AM,ORDER07360,Bank Transfer,200,No,5,Next Day,26.00%,$964.4,"$1,085",6,4,$22.2,$4K
Books,USA,2999,8/20/2023 12:00:00 AM,ORDER08491,Bank Transfer,91,No,1,Next Day,12.00%,$325.7,$248,5,1,$23.9,$1K
Books,USA,3776,2/17/2023 12:00:00 AM,ORDER03756,Bank Transfer,513,No,1,Next Day,34.00%,$276.7,$180,5,3,$48.2,$1K
Books,USA,7141,01/05/23 0:00,ORDER04146,Bank Transfer,871,No,2,Next Day,39.00%,$978.8,$448,3,1,$10.9,$2K
Books,USA,5257,5/28/2023 12:00:00 AM,ORDER03447,Bank Transfer,670,No,2,Next Day,39.00%,$209.8,$107,7,4,$37.3,$1K
Books,USA,7231,11/20/2023 12:00:00 AM,ORDER02354,Bank Transfer,36,No,3,Next Day,14.00%,$370.1,$429,8,0,$20.8,$3K
Books,USA,4035,2/23/2023 12:00:00 AM,ORDER05794,Bank Transfer,668,No,3,Next Day,11.00%,$296.0,$287,8,1,$29.0,$2K
Books,USA,8717,11/23/2023 12:00:00 AM,ORDER07621,Bank Transfer,489,No,4,Next Day,6.00%,$352.8,$981,10,1,$6.7,$3K
Books,USA,6164,8/21/2023 12:00:00 AM,ORDER05874,Bank Transfer,627,No,4,Next Day,20.00%,$319.9,$349,6,3,$37.6,$2K
Books,USA,3579,05/10/23 0:00,ORDER07388,Bank Transfer,6,No,5,Next Day,25.00%,$999.8,$868,5,0,$47.5,$4K
Books,USA,2390,11/25/2023 12:00:00 AM,ORDER08424,Bank Transfer,730,No,5,Next Day,22.00%,$904.1,$736,10,4,$27.7,$7K
Books,USA,1805,11/20/2023 12:00:00 AM,ORDER04499,Bank Transfer,219,No,5,Next Day,27.00%,$743.2,$65,1,5,$10.8,$1K
Clothing,Canada,6595,9/23/2023 12:00:00 AM,ORDER05352,Bank Transfer,687,No,1,Next Day,8.00%,$287.8,$140,3,1,$10.8,$1K
Clothing,Canada,9803,04/10/23 0:00,ORDER07832,Bank Transfer,204,No,1,Next Day,39.00%,$745.0,$341,5,1,$33.6,$2K
Clothing,Canada,1898,05/02/23 0:00,ORDER05757,Bank Transfer,848,No,1,Next Day,27.00%,$98.7,$99,7,1,$19.2,$1K
Clothing,Canada,2443,7/24/2023 12:00:00 AM,ORDER08859,Bank Transfer,159,No,1,Next Day,28.00%,$958.7,$203,1,3,$15.9,$1K
Clothing,Canada,4467,8/28/2023 12:00:00 AM,ORDER01143,Bank Transfer,791,No,2,Next Day,27.00%,$641.6,$242,5,0,$36.3,$2K
Clothing,Canada,5462,12/21/2023 12:00:00 AM,ORDER07979,Bank Transfer,909,No,2,Next Day,17.00%,$496.8,$242,2,3,$7.1,$1K
Clothing,Canada,5878,12/28/2023 12:00:00 AM,ORDER08762,Bank Transfer,196,No,3,Next Day,30.00%,$239.0,$218,10,0,$4.7,$2K
Clothing,Canada,3099,03/04/23 0:00,ORDER01742,Bank Transfer,66,No,3,Next Day,36.00%,$438.5,$114,4,1,$21.3,$1K
Clothing,Canada,8305,3/22/2023 12:00:00 AM,ORDER01633,Bank Transfer,1,No,4,Next Day,26.00%,$194.2,$94,4,5,$34.7,$1K
Clothing,Canada,7981,6/24/2023 12:00:00 AM,ORDER06939,Bank Transfer,823,No,4,Next Day,31.00%,$908.1,$990,6,5,$21.1,$4K
Clothing,Canada,2184,07/10/23 0:00,ORDER05859,Bank Transfer,650,No,5,Next Day,27.00%,$32.3,$6,1,1,$14.4,$0K
Clothing,Canada,6138,3/25/2023 12:00:00 AM,ORDER02704,Bank Transfer,597,No,5,Next Day,24.00%,$414.4,$513,8,1,$34.5,$3K
Clothing,Canada,7349,12/12/23 0:00,ORDER06647,Bank Transfer,252,No,5,Next Day,17.00%,$873.3,$793,5,3,$47.7,$4K
Clothing,France,3667,1/27/2023 12:00:00 AM,ORDER07594,Bank Transfer,976,No,1,Next Day,17.00%,$815.3,$83,1,0,$14.2,$1K
Clothing,France,4607,12/28/2023 12:00:00 AM,ORDER04036,Bank Transfer,260,No,1,Next Day,13.00%,$547.5,$320,3,0,$36.6,$1K
Clothing,France,8902,1/17/2023 12:00:00 AM,ORDER06555,Bank Transfer,733,No,1,Next Day,20.00%,$217.2,$163,4,3,$40.6,$1K
Clothing,France,8061,05/08/23 0:00,ORDER09115,Bank Transfer,360,No,1,Next Day,17.00%,$956.3,"$1,276",8,3,$40.9,$6K
Clothing,France,6747,08/06/23 0:00,ORDER05713,Bank Transfer,35,No,2,Next Day,21.00%,$835.8,$159,2,2,$15.3,$1K
Clothing,France,7780,06/01/23 0:00,ORDER07061,Bank Transfer,97,No,2,Next Day,24.00%,$296.4,$180,3,2,$28.9,$1K
Clothing,France,5661,10/15/2023 12:00:00 AM,ORDER09978,Bank Transfer,37,No,2,Next Day,23.00%,$53.8,$73,7,4,$16.7,$0K
Clothing,France,7958,12/03/23 0:00,ORDER03313,Bank Transfer,767,No,3,Next Day,24.00%,$676.3,$82,1,1,$35.8,$1K
Clothing,France,8006,8/22/2023 12:00:00 AM,ORDER04643,Bank Transfer,962,No,3,Next Day,32.00%,$684.2,$807,7,4,$45.6,$3K
Clothing,France,2740,4/19/2023 12:00:00 AM,ORDER09895,Bank Transfer,299,No,3,Next Day,10.00%,$385.5,$759,10,4,$32.6,$3K
Clothing,France,2633,4/26/2023 12:00:00 AM,ORDER06802,Bank Transfer,193,No,4,Next Day,6.00%,$184.1,$198,10,0,$14.5,$2K
Clothing,France,4817,9/14/2023 12:00:00 AM,ORDER04024,Bank Transfer,860,No,4,Next Day,37.00%,$521.8,$87,1,2,$44.9,$0K
Clothing,France,5950,01/03/23 0:00,ORDER09987,Bank Transfer,515,No,4,Next Day,23.00%,$939.6,$376,3,2,$2.5,$2K
Clothing,France,8281,6/16/2023 12:00:00 AM,ORDER05361,Bank Transfer,401,No,4,Next Day,6.00%,$72.1,$141,10,2,$25.0,$1K
Clothing,France,6523,05/04/23 0:00,ORDER09244,Bank Transfer,146,No,4,Next Day,17.00%,$887.0,$524,4,4,$39.6,$3K
Clothing,France,3214,7/25/2023 12:00:00 AM,ORDER08963,Bank Transfer,737,No,4,Next Day,39.00%,$494.5,$628,7,4,$46.9,$2K
Clothing,France,7672,9/13/2023 12:00:00 AM,ORDER09180,Bank Transfer,862,No,4,Next Day,15.00%,$957.4,"$1,286",8,5,$6.6,$7K
Clothing,France,3883,08/09/23 0:00,ORDER07227,Bank Transfer,880,No,5,Next Day,25.00%,$104.8,$10,1,0,$42.1,$0K
Clothing,France,4363,7/14/2023 12:00:00 AM,ORDER06165,Bank Transfer,88,No,5,Next Day,25.00%,$159.9,$324,9,0,$42.5,$1K
Clothing,France,4585,8/26/2023 12:00:00 AM,ORDER07904,Bank Transfer,833,No,5,Next Day,17.00%,$309.3,$59,1,2,$38.2,$0K
Clothing,France,2766,07/03/23 0:00,ORDER03535,Bank Transfer,778,No,5,Next Day,39.00%,$430.9,$447,8,3,$37.5,$2K
Clothing,Germany,6434,04/04/23 0:00,ORDER05300,Bank Transfer,258,No,1,Next Day,39.00%,$267.4,$243,8,0,$10.8,$1K
Clothing,Germany,2010,12/13/2023 12:00:00 AM,ORDER05631,Bank Transfer,611,No,1,Next Day,27.00%,$88.4,$34,4,1,$48.6,$0K
Clothing,Germany,1086,12/20/2023 12:00:00 AM,ORDER09610,Bank Transfer,979,No,1,Next Day,20.00%,$497.1,$294,5,1,$31.2,$2K
Clothing,Germany,7479,12/05/23 0:00,ORDER01496,Bank Transfer,696,No,1,Next Day,37.00%,$407.8,$333,10,1,$31.0,$3K
Clothing,Germany,4252,07/10/23 0:00,ORDER06964,Bank Transfer,670,No,1,Next Day,34.00%,$443.0,$105,2,2,$21.3,$1K
Clothing,Germany,5791,07/01/23 0:00,ORDER04483,Bank Transfer,473,No,1,Next Day,7.00%,$537.7,$766,7,3,$43.3,$4K
Clothing,Germany,1940,3/16/2023 12:00:00 AM,ORDER04982,Bank Transfer,619,No,1,Next Day,34.00%,$770.1,$592,6,4,$15.6,$3K
Clothing,Germany,6414,8/25/2023 12:00:00 AM,ORDER02711,Bank Transfer,866,No,2,Next Day,36.00%,$174.4,$165,7,0,$13.2,$1K
Clothing,Germany,3882,09/04/23 0:00,ORDER09526,Bank Transfer,957,No,2,Next Day,37.00%,$352.4,$135,3,3,$6.0,$1K
Clothing,Germany,7320,02/12/23 0:00,ORDER06590,Bank Transfer,20,No,2,Next Day,28.00%,$777.4,$151,1,5,$22.7,$1K
Clothing,Germany,3644,1/16/2023 12:00:00 AM,ORDER01351,Bank Transfer,420,No,3,Next Day,21.00%,$344.7,$58,1,0,$36.9,$0K
